requested_n_ribs,effective_n_ribs,th_front,th_back,xf,zf,phi_ribs,th_ribs,winding_number,area_factor,normed_fx,normed_fz,reward,E_front,E_back
3,3,0.0029875563259869776,0.004391803394378958,0.13338623103119063,0.07593429399397089,[-20.52569515 -10.8059135  -17.98117408],[0.00251742 0.00279603 0.00238542],0.23589076694510583,0.1413010745252253,0.5301518014504975,1.004491880512528,0.09714823759169944,0.03428791498249019,0.13390807551151052
3,3,0.0026885094251096033,0.00411513224781893,0.10434771608639715,-0.11536834196216883,[56.76858542 51.85384728 49.41873021],[0.00270997 0.00268063 0.00225728],0.2587745013216239,0.38668623664654694,0.7417130286418936,0.4063006794782143,-0.9808730871318503,0.03936078308288184,0.08560765090499826
3,3,0.0024017023855279034,0.004463282841925398,0.17225798939197234,0.06818865051043543,[-7.87422682 -2.14006279 -5.52247741],[0.00228313 0.00254451 0.0022868 ],0.24533893892861258,0.20240592261562043,0.3568944357942621,0.060579409856295674,-0.7440598874821993,0.023740863803095088,0.08905367717266473
3,3,0.002472086826862623,0.004474244828000576,0.022946482486728925,0.01916193300822866,[10.94115554 21.11206219 54.82632921],[0.00215524 0.00216085 0.00237828],0.25393566767366993,0.2925313566544664,0.45639777818626726,0.1214052632985521,-0.8814595392158515,0.02986626965287176,0.078711164896432
3,3,0.0021994680161922806,0.004905762263388279,0.03688913120864201,0.011538231235190599,[34.76343082 39.48106498  8.83185394],[0.0021734  0.00299669 0.00278118],0.2541478335684238,0.4097330266104642,0.5168366997604368,0.1489218048001307,-1.031795755139194,0.021004795220903576,0.09542455686943073
3,3,0.0027501282162089545,0.003627895418947589,0.01570676694593598,0.02114517963663376,[42.58069178 -7.660412   21.65480201],[0.00283343 0.00248406 0.00293966],0.25658499719218564,0.5481450580207844,0.4912103138951136,0.03934649006861111,-1.2565938790394724,0.043493614774796706,0.06004594255179789
3,3,0.0024762770840641643,0.004737762068409694,0.055138240546526496,0.025236803655982465,[27.91996368  1.8107122  15.06406998],[0.00270281 0.00259069 0.00289041],0.24845624852225862,0.4795642444038195,0.4201297333701293,0.300387832393486,-0.8477623939027213,0.026769676005462047,0.1041329057275416
3,3,0.0025080705230877557,0.00483905598160754,0.024043875671652115,0.030565935542873124,[ -2.23720496  28.29891343 -19.80683549],[0.00209432 0.00269057 0.00253588],0.2483087248121121,0.45504525173235855,0.5393065319190677,0.7596165014099456,-0.48304400705359263,0.02749861696252977,0.114860224179326
3,3,0.0029556420354053866,0.0037585495659894276,0.06442739879775627,0.0495167661187641,[  7.7616849  -20.52509841 -17.74130998],[0.00277686 0.00240475 0.00288626],0.230235743363937,0.09679287111924811,0.3994618313673597,0.9306549462395022,0.2041645003889574,0.03231896595114849,0.10733829416490624
3,3,0.0021655960129470346,0.004183099267852666,0.04625586419237371,0.06235690212528988,[-36.9230257   -8.86074902 -28.90900343],[0.00215744 0.00294482 0.0028277 ],0.2286114406780782,0.3459856014775667,0.48932864483081373,0.5101406368903247,-0.5537850500961339,0.014258223744738728,0.1408800980516018
